ID,Gender,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
140,F ,59,35,18,93305,1,1.2,3,0,0,0,0,1,0
141,M,51,25,31,90245,2,0.4,3,161,0,0,0,1,1
142,M,35,11,58,95831,3,2,1,149,0,0,0,1,1
143,M,33,9,48,91770,1,2.1,3,0,0,0,0,0,1
144,F,25,1,54,94117,4,1.6,1,0,0,0,0,1,1
145,F,49,23,70,92093,2,1.5,2,0,0,0,0,0,0
146,F ,59,35,124,90007,1,7.4,1,0,0,0,0,0,1
147,M,46,19,84,94102,1,2.67,2,0,0,0,0,1,1
148,M,50,25,83,94542,4,3.6,3,188,0,0,0,1,0
149,M,52,28,163,91423,2,0.4,1,116,0,0,0,1,0
150,F,48,22,42,93955,3,2.2,2,0,0,0,0,0,0
151,F,46,22,118,94107,2,7.5,1,0,0,0,1,1,1
152,F ,26,0,132,92834,3,6.5,3,0,1,0,0,0,1
153,M,57,32,24,93117,1,1.3,1,0,0,0,0,1,1
154,M,60,36,22,94551,2,1,1,0,0,1,1,1,1
155,M,54,29,58,92612,4,1.3,3,0,0,0,0,0,0
156,F,24,0,60,94596,4,1.6,1,0,0,0,0,1,0
157,F,26,0,15,92131,4,0.4,1,0,0,0,0,0,1
158,F ,41,17,83,94025,4,2.67,1,0,0,0,0,1,1
159,M,32,6,79,94720,2,1.5,3,0,0,0,0,1,1
160,M,61,35,41,94545,4,1.7,2,0,0,1,0,1,0
161,M,29,0,134,95819,4,6.5,3,0,1,0,0,0,0
162,F,61,35,80,95053,2,2.8,1,0,0,0,0,1,0
163,F,38,12,52,90036,1,2,1,0,0,0,0,0,0
164,F ,28,4,70,91125,4,2.6,1,0,0,0,0,1,0
165,M,53,27,92,95120,2,1.1,1,0,0,1,0,0,0
166,M,27,1,43,94706,1,1.5,1,0,0,0,0,1,0
167,M,25,1,21,95827,3,1,2,0,0,0,0,0,0
168,F,33,9,23,94305,3,0.9,3,0,0,0,0,1,1
169,F,50,26,13,91320,4,1,1,0,0,0,0,1,0
170,F ,27,1,112,90503,4,2.1,3,0,0,0,0,0,1
171,M,27,1,138,90250,2,2,1,0,0,0,0,1,0
172,M,52,28,11,95817,3,0.4,1,0,0,1,0,0,0
173,M,38,13,171,92717,2,7.8,1,0,0,0,0,1,0
174,F,58,34,42,90095,4,1.5,1,0,0,0,0,1,1
175,F,42,17,168,95503,2,7.9,2,0,1,0,0,1,0
176,F ,45,20,85,91711,4,1.1,2,0,0,1,0,1,0
177,M,52,25,44,93111,3,1,2,135,0,0,0,1,0
178,M,29,3,65,94132,4,1.8,2,244,0,0,0,0,0
179,M,53,29,24,95818,4,0.2,1,0,0,0,0,1,1
180,F,62,37,11,91942,1,0.1,1,0,0,0,0,1,0
181,F,51,27,38,90401,2,1,3,164,0,0,0,1,0
182,F ,36,12,10,93524,4,0.7,2,81,0,0,0,0,0
183,M,24,0,135,95133,1,1.5,1,0,0,0,0,1,0
184,M,29,3,148,92173,3,4.1,1,0,1,0,0,1,0
185,M,52,26,63,92717,2,1.5,2,0,0,1,0,1,0
186,F,39,14,115,91320,1,1,3,0,0,0,0,1,0
187,F,48,23,45,95616,1,0.3,1,0,0,0,0,1,1
188,F ,46,21,159,94305,3,1.9,3,315,1,0,0,1,0
189,M,64,40,169,91320,2,2.1,1,122,0,0,0,1,0
190,M,55,29,112,94043,2,1.4,1,0,0,0,0,1,0
191,M,60,36,93,92521,1,4.3,1,0,0,0,0,1,0
192,F,51,25,29,90404,1,0.3,3,140,0,0,0,0,0
193,F,50,23,85,92122,1,2.67,2,0,0,0,0,1,0
194,F ,48,24,21,93118,4,0.6,1,0,0,0,0,1,1
195,M,53,29,144,92697,2,6.8,1,0,0,0,0,1,0
196,M,34,10,13,94577,4,1,1,95,0,1,0,1,0
197,M,48,24,165,93407,1,5,1,0,0,0,0,0,1
198,F,55,31,9,91345,4,0.7,1,89,0,0,0,1,0
199,F,27,3,59,94123,4,0,1,90,0,1,0,1,0
200,F ,36,11,158,92152,1,5.1,3,0,1,0,1,1,1
201,M,32,6,29,91355,1,1.9,3,0,0,0,0,1,1
202,M,35,9,20,94609,2,1.4,3,0,0,0,0,1,1
203,M,30,3,68,94306,4,2,2,0,0,0,0,1,0
204,F,58,34,65,95747,4,2.2,1,0,0,0,0,1,0
205,F,56,31,61,96150,2,1.9,2,105,0,0,0,0,0
206,F ,38,12,91,95616,4,1.4,2,100,0,0,0,0,1
207,M,49,25,31,91355,1,1,1,0,0,1,0,1,0
208,M,34,10,71,94115,4,0.1,2,0,0,0,0,0,0
209,M,40,16,73,94110,4,2.67,1,0,0,0,0,1,1
210,F,64,39,172,94707,4,3.1,1,282,1,0,1,1,1
211,F,51,26,20,92131,2,0,1,0,0,0,0,0,0
212,F ,44,18,55,94720,1,0.2,1,0,0,0,0,0,0
213,M,46,22,69,91604,2,1.7,1,209,0,0,0,0,0
214,M,57,33,155,91326,1,7.4,1,0,0,0,0,1,0
215,M,54,28,94,90291,1,1.9,2,0,0,0,0,0,0
216,F,38,14,92,95818,2,0,1,249,0,0,0,1,1
217,F,27,3,125,95521,2,0.6,1,0,0,0,0,0,0
218,F ,39,14,74,94305,3,3,1,0,0,0,0,0,0
219,M,44,20,72,92807,3,0.3,3,0,0,0,0,1,0
220,M,56,30,61,94707,1,2.2,3,0,0,0,0,1,1
221,M,32,6,25,92130,2,0.3,1,0,0,0,0,0,1
222,F,45,19,83,95051,2,1.7,2,0,0,0,0,1,0
223,F,26,2,104,94306,3,2.5,1,0,0,0,0,0,0
224,F ,55,25,41,95014,3,1,3,0,0,0,0,1,0
225,M,52,27,58,94305,4,1.8,3,91,0,0,0,0,0
226,M,39,13,93,94720,1,1.5,3,0,0,0,0,0,1
227,M,24,-1,39,94085,2,1.7,2,0,0,0,0,0,0
228,F,47,23,148,94551,2,7.5,1,0,0,0,1,1,1
229,F,47,22,53,92677,4,1.9,3,98,0,1,1,0,1
230,F ,48,24,71,93117,2,1.7,1,145,0,0,0,0,1
231,M,47,22,92,94720,1,2.8,2,0,0,0,0,1,0
232,M,35,10,61,94304,4,2.1,3,0,0,0,0,1,0
233,M,46,19,38,94122,3,2.5,2,135,0,0,0,0,0
234,F,62,37,58,91320,4,1.7,1,0,0,0,0,1,0
235,F,26,1,80,95616,1,0.8,2,150,0,0,0,0,0
236,F ,38,8,71,94720,4,1.8,3,0,0,0,0,1,0
237,M,43,18,89,93407,3,0.5,3,0,0,0,0,1,1
238,M,62,38,83,92521,1,1.8,3,0,0,0,0,1,0
239,M,57,32,28,95831,3,0.2,1,0,0,0,0,1,1
240,F,28,3,52,94112,4,1.7,2,0,0,0,0,0,0
241,F,51,26,70,90089,1,1.2,1,169,0,0,0,0,0
242,F ,48,22,71,91711,1,1.4,3,0,0,0,0,0,1
243,M,41,16,75,94005,1,3.7,3,280,0,0,0,0,0
244,M,65,39,170,90095,3,7.9,3,99,1,0,1,1,0
245,M,41,17,78,94025,4,0.8,1,78,0,0,0,1,0
246,F,35,11,25,92614,2,1,2,0,0,0,0,0,0
247,F,38,14,60,94025,2,0.6,3,0,0,0,0,1,1
248,F ,53,29,120,92626,4,2.7,2,111,1,1,1,1,0
249,M,55,29,99,92121,2,1.4,1,264,0,0,0,1,1
250,M,26,1,55,90089,3,2.6,3,113,0,0,0,0,1
251,M,30,6,29,94305,3,1,2,117,0,0,0,0,0
252,F,54,28,170,92182,2,6.2,2,325,1,0,0,1,0
253,F,65,40,53,91711,3,2.2,1,0,0,0,0,0,1
254,F ,47,21,138,94583,1,0,1,0,0,0,0,0,0
255,M,65,41,134,91942,3,3.9,3,121,1,0,0,1,0
256,M,66,40,42,92103,2,0.7,3,138,0,0,0,0,1
257,M,26,0,99,92697,4,2.3,3,0,0,0,0,0,1
258,F,66,41,18,92691,3,0.5,1,0,0,0,0,0,1
259,F,35,9,24,95747,4,0.3,1,0,0,0,0,1,0
260,F ,56,30,55,94107,1,1.4,1,77,0,0,0,1,0
261,M,51,27,58,92407,1,0,1,0,0,0,0,0,1
262,M,42,16,111,93106,2,1.2,3,251,1,0,0,1,0
263,M,49,23,33,90245,1,0.3,3,0,0,0,1,1,1
264,F,27,1,74,92121,4,1.8,2,112,0,0,0,1,1
265,F,45,19,38,90840,2,0.7,1,0,0,0,0,0,0
266,F ,49,23,23,94305,4,0.6,3,98,0,1,0,0,0
267,M,63,38,61,94720,2,1.5,1,0,0,0,0,1,0
268,M,47,22,81,90504,1,2.9,1,138,0,0,0,0,0
269,M,64,39,129,94002,1,2.5,1,0,0,0,0,1,0
270,F,43,13,33,95039,1,0.75,3,0,0,0,0,0,0
271,F,60,36,63,94063,4,2.2,1,0,0,0,0,1,0
272,F ,40,14,70,94923,4,1.4,2,0,0,0,0,1,0
273,M,29,3,45,95023,4,0.2,1,158,0,0,0,1,1
274,M,41,16,65,90095,3,0.5,3,0,0,0,0,1,0
275,M,30,5,74,95616,4,2.2,1,0,0,1,0,0,1
276,F,49,24,50,94706,4,1.8,3,0,0,1,0,0,0
277,F,30,5,22,90058,4,0.5,3,109,0,0,0,1,0
278,F ,29,2,30,92126,4,1,3,0,0,0,0,0,0
279,M,50,26,21,91125,4,1,1,0,0,0,0,1,0
280,M,39,14,155,94577,2,3.9,1,0,0,0,0,1,0
281,M,33,8,64,92121,4,2.1,3,164,0,0,0,1,0
282,F,57,31,65,94118,4,2.6,3,0,0,0,0,0,1
283,F,34,9,71,91711,4,0.7,3,0,0,0,0,1,0
284,F ,61,36,40,90029,3,0.5,2,0,0,1,0,1,0
285,M,44,19,69,92806,3,0.5,3,0,0,0,0,1,0
286,M,40,13,69,94305,3,2.33,2,0,0,0,0,0,0
287,M,51,25,45,94806,3,0.6,2,131,0,0,0,1,0
288,F,37,12,62,92110,3,0.7,2,0,0,0,0,0,1
289,F,44,19,172,94306,2,4.3,3,391,1,1,1,1,0
290,F ,42,15,24,92121,3,1,2,0,0,0,0,1,1
291,M,51,25,80,92373,1,4.9,1,0,0,0,0,0,0
292,M,43,16,8,90089,3,0.67,2,88,0,0,0,1,0
293,M,30,5,38,94542,4,0.8,1,129,0,0,0,1,1
294,F,45,19,93,90095,4,2.6,3,0,0,0,0,0,0
295,F,35,9,55,94536,1,2,1,0,0,0,0,1,0
296,F ,60,34,64,94304,2,1.7,3,0,0,0,0,0,1
297,M,34,9,122,90623,1,0,1,0,0,0,0,1,0
298,M,55,25,70,93720,3,1.4,3,0,0,0,0,1,0
299,M,43,19,81,92069,2,3.2,1,0,0,0,0,0,0
300,F,41,15,159,90057,1,5.5,3,0,1,0,1,1,0
301,F,34,9,70,92843,4,1.3,1,0,0,1,0,0,0
302,F ,65,39,150,92120,2,6.9,1,196,0,0,0,0,0
303,M,45,21,152,94550,2,7.5,1,0,0,0,0,1,0
304,M,49,25,195,95605,4,3,1,617,1,0,0,0,0
305,M,48,23,22,90740,1,0.1,1,0,0,0,0,0,0
306,F,60,35,22,91207,1,1.3,1,123,0,0,0,1,0
307,F,55,29,79,92373,3,0.8,1,0,0,0,0,1,1
308,F ,42,18,33,90401,1,1.4,3,0,0,0,0,1,0
309,M,32,8,128,94720,2,4.33,1,0,0,0,1,1,1
310,M,62,38,91,95929,1,3.8,1,0,0,1,0,1,0
311,M,57,32,39,90277,4,0.9,1,0,0,0,0,1,1
312,F,52,26,121,94550,1,7.3,1,167,0,0,0,1,0
313,F,36,6,21,91741,1,0.67,3,0,0,1,0,1,0
314,F ,34,9,41,93720,3,2.3,1,0,0,0,0,0,1
315,M,63,37,45,93437,2,0.7,3,0,0,0,0,1,0
316,M,24,-2,51,90630,3,0.3,3,0,0,0,0,1,0
317,M,57,31,165,95054,1,1.6,2,0,1,0,0,1,0
318,F,40,16,119,91335,2,4.2,2,0,1,0,0,1,0
319,F,27,2,110,95670,4,1.8,3,190,0,0,0,1,0
320,F ,65,39,20,90034,3,0.7,2,0,0,0,0,0,1
321,M,60,34,64,90266,1,0.8,2,248,0,0,0,0,0
322,M,44,20,101,92717,3,4.4,2,82,1,0,0,0,0
323,M,63,39,101,92007,1,3.9,1,0,1,1,1,1,0
324,F,59,34,99,90034,1,4.4,1,0,1,0,0,0,0
325,F,56,30,158,90089,4,6.1,1,0,1,0,0,0,0
326,F ,54,28,89,95039,1,1.9,2,0,0,0,0,1,1
327,M,52,27,80,95616,1,1.3,3,0,0,0,1,1,1
328,M,58,32,114,91330,2,2,1,402,0,0,0,1,0
329,M,60,35,49,94110,3,0.5,2,0,0,0,0,1,1
330,F,28,4,191,90064,1,6.33,1,0,0,0,0,1,0
331,F,54,30,78,92374,4,1,2,0,0,0,0,1,0
332,F ,32,6,28,94115,3,1,1,0,0,0,0,0,0
333,M,59,33,42,95630,1,0.8,2,0,0,0,0,1,0
334,M,63,38,140,92407,1,2.5,1,0,0,0,0,0,0
335,M,48,23,45,95053,1,1.3,2,0,0,0,0,1,0
336,F,56,32,122,95827,2,0.3,1,360,0,0,1,1,1
337,F,36,12,65,95051,3,2.6,2,0,0,0,0,1,0
338,F ,57,27,68,94117,1,1.4,3,0,0,0,0,1,0
339,M,29,3,153,93657,2,2,1,392,0,0,0,0,0
340,M,39,13,89,92110,4,1.4,2,0,0,0,0,0,0
341,M,59,34,91,93524,1,2.6,1,0,0,0,0,1,1
342,F,31,6,55,92038,4,2,2,185,0,0,0,1,0
343,F,43,19,118,91304,2,3.3,1,0,0,0,0,0,1
344,F ,35,5,22,93407,1,0.67,3,103,0,0,0,0,0
345,M,54,24,63,92606,3,1.4,3,138,0,0,0,1,1
346,M,51,27,12,92192,4,0.5,2,78,0,1,0,1,0
347,M,44,19,50,90745,3,2.7,2,0,0,0,0,1,0
348,F,25,0,43,94305,2,1.6,3,0,0,1,1,1,1
349,F,40,15,173,95060,4,6.6,1,0,1,0,1,1,1
350,F ,26,2,60,93407,2,3,1,132,1,0,0,0,0
351,M,39,14,113,94301,1,1,3,0,0,1,0,1,0
352,M,28,4,155,92182,4,5.3,2,0,1,0,0,1,0
353,M,52,28,91,92692,4,1,2,0,0,0,0,0,1
354,F,53,29,55,95818,4,1.1,2,0,0,0,0,1,0
355,F,44,20,173,90277,2,1.4,1,419,0,0,0,1,0
356,F ,43,19,71,92101,3,0.3,3,0,0,0,0,0,1
357,M,56,30,24,94704,2,0.4,3,88,0,0,0,0,0
358,M,38,14,42,94610,1,2,2,81,0,0,0,1,0
359,M,30,6,141,94539,2,4.33,1,0,0,0,0,1,0
360,F,32,6,32,93106,1,1.9,3,0,0,0,0,1,0
361,F,35,10,55,94539,4,1.3,1,0,0,0,0,0,0
362,F ,43,19,153,90254,2,7.5,1,0,0,0,0,1,0
363,M,58,32,113,94590,2,1.4,1,270,0,0,0,0,1
364,M,25,0,30,92691,2,1.7,2,0,0,0,0,0,0
365,M,54,24,29,92028,3,1,3,148,0,0,0,0,1
366,F,57,32,174,90089,1,6.8,2,466,1,0,0,1,0
367,F,50,24,35,92717,1,0.3,3,0,0,0,0,1,0
368,F ,32,8,98,95054,2,2,2,175,0,0,0,1,0
369,M,63,37,30,92054,2,1,3,159,0,0,0,1,0
370,M,31,6,58,95051,2,2.5,1,0,0,0,0,0,1
371,M,36,12,25,92101,4,1,1,147,0,0,0,0,0
372,F,58,34,19,92029,4,0.7,1,0,0,0,0,0,0
373,F,56,30,44,93105,4,0.7,2,174,0,0,0,1,0
374,F ,49,25,20,90291,4,1,1,111,0,0,0,1,1
375,M,30,5,98,91941,2,3.1,1,220,0,0,0,1,0
376,M,33,7,90,92346,3,1.6,1,0,0,0,0,1,0
377,M,45,21,61,94304,3,0.7,1,0,0,0,0,0,0
378,F,30,5,40,94402,4,2,2,0,0,0,0,1,0
379,F,47,23,38,94618,2,2.1,3,0,0,0,0,0,0
380,F ,25,0,28,92093,2,1.7,2,0,0,0,0,0,0
381,M,63,33,34,94305,1,1.5,3,0,0,0,0,1,1
382,M,55,29,73,95616,2,2.3,3,0,0,0,0,1,1
383,M,65,41,133,94904,4,2,1,0,1,0,0,0,1
384,F,44,18,53,94608,1,0.2,1,0,0,0,0,1,0
385,F,51,25,21,9307,4,0.6,3,0,0,0,0,1,1
386,F ,35,9,40,93943,3,0.9,1,0,0,0,0,1,0
387,M,30,5,41,95051,4,1.7,2,0,0,0,0,1,0
388,M,31,5,82,95482,4,1.8,2,0,0,0,0,1,0
389,M,54,30,100,95814,4,3.4,3,0,1,0,0,0,0
390,F,45,20,155,90024,1,7,1,0,0,0,0,1,1
391,F,45,19,45,92521,1,0.2,1,0,0,0,0,1,0
392,F ,58,32,9,94080,3,0.3,3,0,0,0,0,0,1
393,M,54,29,48,91709,4,1.8,3,0,0,0,0,1,0
394,M,53,28,18,90095,4,0.1,3,109,0,1,1,1,1
395,M,33,9,80,91311,4,3.4,1,0,0,0,0,1,1
396,F,60,35,64,94509,2,2.8,1,0,0,0,0,0,0
397,F,50,24,29,93023,4,0.1,1,0,0,0,0,0,0
398,F ,26,2,48,90503,3,0.7,2,0,0,0,0,1,0
399,M,54,30,23,94608,2,0.4,1,0,0,0,0,0,0
400,M,28,3,84,90024,4,0.2,1,0,0,0,0,1,1
401,M,36,10,179,94542,3,6.6,1,0,1,0,0,1,0
402,F,29,2,30,95747,4,1.5,2,112,0,0,0,0,1
403,F,54,28,93,91604,1,4.9,1,133,0,0,1,1,1
404,F ,55,30,39,92647,2,1.9,2,0,0,0,0,0,0
405,M,61,36,60,92866,3,0.5,2,182,0,0,0,0,0
406,M,36,11,133,90245,1,3.8,1,290,0,1,1,1,1
407,M,45,19,125,92354,1,2.4,1,0,0,0,0,0,0
408,F,64,40,58,93437,1,1.8,3,0,0,0,0,1,0
409,F,60,36,89,91745,2,2.8,1,0,0,0,0,1,0
410,F ,49,22,82,90019,1,2.67,2,125,0,0,0,1,0
411,M,47,23,110,94111,2,3.3,1,0,0,0,0,1,1
412,M,60,36,54,92182,4,2.3,3,0,0,1,0,0,0
413,M,45,20,89,93311,4,1.9,3,0,0,0,0,1,0
414,F,32,7,42,92407,3,2.3,1,0,0,0,0,1,0
415,F,52,28,41,94309,3,1.9,2,0,0,0,0,0,1
416,F ,35,8,38,93106,4,1,2,124,0,0,0,1,0
417,M,40,15,85,94304,2,0.4,1,0,0,0,0,1,0
418,M,53,29,83,90073,4,1,2,0,0,0,0,1,0
419,M,27,0,33,90089,4,1,3,0,0,0,0,0,0
420,F,58,33,50,94501,4,2.1,1,0,0,0,0,0,1
421,F,47,22,58,93105,4,3.6,3,0,0,0,0,1,1
